Lot number:	00000000
VIN:	00000000000000000
Make:	Volkswagen
Model:	CC
Year:	2018
Final bid:	10000
Sale status:	Sold
Retail value:	20000
Repaire value:	5000
Auction date:	2018/10/20
Odometer:	62836
Odometer actual (yes/no):	yes
Engine:	2.0L I4 FI DOHC 16V NF4
Cylinders:	4
Fuel(Gasoline, Diesel, Electric, Flexible Fuel, Hybrid):	Gasoline
Drive line(Front Wheel Drive, Rear Wheel Drive, All-wheel Drive):	Front Wheel Drive
Color:	black
Loss(Collision, Other, Water, Theft, Fire):	Collision
Damage:	Front end, Left Side
Run & drive (yes/no):	yes
Starts(Car Starts, Cant Test, Didnt Test, Engine Damage, Starts WJump, Wont Start):	Car Starts
Keys (yes/no):	yes
Location:	CLEVELAND (OH)
Sale docs:	OH - Salvage title
