Lot number:	24306156
VIN:	2HKRM3H49GH539332
Make:	HONDA 
Model:	CR-V
Year:	2016
Final bid:	6100
Sale status:	Sold
Retail value:	19557
Repaire value:	16196
Auction date:	2019/03/11
Odometer:	19116
Odometer actual (yes/no):	yes
Engine:	2.4L I4 FI DOHC 16V NF4
Cylinders:	4
Fuel(Gasoline, Diesel, Electric, Flexible Fuel, Hybrid):	Gasoline
Drive line(Front Wheel Drive, Rear Wheel Drive, All-wheel Drive):	Front Wheel Drive
Color:	Blue
Loss(Collision, Other, Water, Theft, Fire):	Collision
Damage:	Right Side, Front
Run & drive (yes/no):	yes
Starts(Car Starts, Cant Test, Didnt Test, Engine Damage, Starts WJump, Wont Start):	Car Starts
Keys (yes/no):	yes
Location:	Indianapolis (IN)
Sale docs:	IN - SALVAGE
