Lot number:	50244708
VIN:	1VWAH7A39DC139091
Make:	VOLKSWAGEN
Model:	PASSAT
Year:	2013
Final bid:	1050
Sale status:	Sold
Retail value:	8878
Repaire value:	10123
Auction date:	2018/02/04
Odometer:       81924
Odometer actual (yes/no):	yes
Engine:	2.5L 5
Cylinders:	5
Fuel(Gasoline, Diesel, Electric, Flexible Fuel, Hybrid):	Gasoline
Drive line(Front Wheel Drive, Rear Wheel Drive, All-wheel Drive):	Front-Wheel Drive
Color:	Yellow
Loss(Collision, Other, Water, Theft, Fire):	Collision
Damage:	Front end
Run & drive (yes/no):	yes
Starts(Car Starts, Cant Test, Didnt Test, Engine Damage, Starts WJump, Wont Start):	Car Starts
Keys (yes/no):	yes
Location:	Billings, Montana
Sale docs:	SALVAGE
