Lot number:	24525123
VIN:	WDDSJ4EBXHN491060
Make:	MERCEDES-BENZ
Model:	CLA
Year:	2017
Final bid:	11050
Sale status:	Sold
Retail value:	28293
Repaire value:	21836
Auction date:	2019/05/28
Odometer:       15764
Odometer actual (yes/no):	yes
Engine:	2.0L I4 FI DOHC 16V NF4
Cylinders:	4
Fuel(Gasoline, Diesel, Electric, Flexible Fuel, Hybrid):	Gasoline
Drive line(Front Wheel Drive, Rear Wheel Drive, All-wheel Drive):	Front-Wheel Drive
Color:	White
Loss(Collision, Other, Water, Theft, Fire):	Collision
Damage:	Front end Rear End
Run & drive (yes/no):	yes
Starts(Car Starts, Cant Test, Didnt Test, Engine Damage, Starts WJump, Wont Start):	Car Starts
Keys (yes/no):	yes
Location:	Charlotte, NC
Sale docs:	Salvage
